iter	Passed	Remaining
679	62642	121600
680	62749	121536
681	62834	121431
682	62928	121342
683	63005	121221
684	63086	121106
685	63214	121084
686	63291	120963
687	63373	120851
688	63466	120761
689	63541	120637
690	63625	120530
691	63717	120437
692	63799	120326
693	63885	120223
694	63977	120130
695	64061	120022
696	64151	119927
697	64248	119845
698	64344	119760
699	64425	119646
700	64519	119558
701	64600	119446
702	64677	119326
703	64762	119221
704	64853	119128
705	64932	119012
706	65016	118905
707	65103	118803
708	65182	118689
709	65271	118592
710	65374	118519
711	65471	118436
712	65555	118331
713	65636	118218
714	65725	118121
715	65810	118017
716	65889	117902
717	65973	117797
718	66052	117682
719	66133	117571
720	66218	117466
721	66293	117344
722	66376	117236
723	66476	117160
724	66564	117061
725	66648	116955
726	66737	116859
727	66821	116753
728	66906	116651
729	66987	116540
730	67068	116429
731	67154	116327
732	67242	116230
733	67319	116112
734	67393	115990
735	67483	115895
736	67581	115815
737	67702	115772
738	67797	115686
739	67877	115574
740	67964	115475
741	68050	115373
742	68126	115256
743	68211	115152
744	68288	115036
745	68367	114923
746	68456	114826
747	68529	114704
748	68613	114600
749	68722	114537
750	68812	114442
751	68901	114346
752	68985	114242
753	69064	114130
754	69141	114015
755	69227	113913
756	69303	113796
757	69381	113682
758	69464	113577
759	69545	113469
760	69639	113380
761	69728	113286
762	69835	113219
763	69915	113109
764	70005	113015
765	70090	112913
766	70173	112808
767	70261	112711
768	70347	112610
769	70426	112500
770	70518	112409
771	70600	112302
772	70689	112206
773	70786	112124
774	70872	112024
775	70971	111944
776	71053	111837
777	71143	111744
778	71221	111632
779	71302	111524
780	71385	111420
781	71467	111314
782	71557	111219
783	71638	111112
784	71716	111000
785	71806	110906
786	71888	110801
787	71975	110702
788	72087	110643
789	72169	110538
790	72248	110427
791	72333	110326
792	72411	110215
793	72494	110111
794	72596	110035
795	72705	109971
796	72822	109919
797	72919	109835
798	73004	109734
799	73110	109665
800	73204	109577
801	73289	109477
802	73384	109390
803	73465	109284
804	73550	109183
805	73645	109098
806	73719	108981
807	73805	108881
808	73896	108789
809	73976	108681
810	74057	108574
811	74144	108477
812	74241	108395
813	74326	108294
814	74414	108197
815	74493	108088
816	74572	107979
817	74654	107875
818	74735	107769
819	74817	107664
820	74907	107571
821	74986	107461
822	75065	107354
823	75152	107256
824	75225	107139
825	75327	107062
826	75428	106986
827	75504	106873
828	75587	106771
829	75674	106673
830	75752	106564
831	75834	106460
832	75924	106366
833	76005	106261
834	76088	106159
835	76175	106061
836	76258	105960
837	76334	105848
838	76432	105766
839	76521	105672
840	76599	105563
841	76685	105465
842	76768	105363
843	76852	105262
844	76940	105166
845	77018	105058
846	77097	104951
847	77183	104853
848	77264	104748
849	77347	104647
850	77433	104549
851	77528	104462
852	77626	104381
853	77713	104284
854	77800	104189
855	77880	104082
856	77971	103992
857	78053	103889
858	78133	103783
859	78218	103684
860	78293	103573
861	78369	103461
862	78456	103366
863	78535	103260
864	78625	103167
865	78726	103089
866	78815	102996
867	78897	102894
868	78985	102799
869	79065	102693
870	79152	102597
871	79240	102504
872	79323	102402
873	79401	102295
874	79488	102199
875	79574	102102
876	79652	101994
877	79751	101914
878	79844	101826
879	79927	101726
880	80019	101636
881	80103	101537
882	80182	101431
883	80272	101339
884	80352	101235
885	80431	101129
886	80523	101040
887	80602	100934
888	80685	100833
889	80783	100752
890	80888	100679
891	80971	100579
892	81062	100487
893	81136	100377
894	81212	100268
895	81304	100179
896	81388	100079
897	81466	99973
898	81554	99879
899	81630	99770
900	81709	99665
901	81802	99578
902	81889	99482
903	81990	99404
904	82082	99315
905	82160	99209
906	82237	99101
907	82330	99014
908	82415	98916
909	82513	98834
910	82624	98768
911	82733	98699
912	82866	98659
913	82983	98599
914	83105	98546
915	83218	98481
916	83326	98410
917	83472	98384
918	83627	98369
919	83762	98329
920	83884	98275
921	83998	98211
922	84243	98298
923	84353	98229
924	84462	98158
925	84600	98122
926	84725	98070
927	84882	98053
928	85016	98011
929	85151	97970
930	85263	97901
931	85371	97829
932	85470	97745
933	85580	97675
934	85680	97593
935	85798	97532
936	85902	97454
937	85994	97362
938	86077	97261
939	86157	97156
940	86234	97048
941	86318	96948
942	86395	96839
943	86471	96730
944	86566	96643
945	86648	96541
946	86732	96440
947	86821	96345
948	86907	96248
949	86996	96153
950	87101	96077
951	87177	95968
952	87269	95877
953	87354	95778
954	87431	95671
955	87516	95572
956	87606	95479
957	87699	95389
958	87779	95285
959	87871	95193
960	87949	95088
961	88037	94992
962	88143	94916
963	88233	94823
964	88315	94721
965	88400	94623
966	88480	94519
967	88561	94417
968	88646	94317
969	88730	94219
970	88817	94122
971	88903	94025
972	88977	93915
973	89057	93811
974	89151	93723
975	89253	93643
976	89350	93557
977	89433	93456
978	89523	93364
979	89610	93267
980	89695	93169
981	89777	93068
982	89865	92973
983	89939	92864
984	90018	92759
985	90099	92657
986	90186	92562
987	90274	92467
988	90386	92396
989	90474	92301
990	90553	92198
991	90643	92105
992	90726	92005
993	90817	91914
994	90902	91816
995	90985	91716
996	91066	91614
997	91166	91531
998	91253	91436
999	91330	91330
1000	91425	91242
1001	91527	91162
1002	91606	91058
1003	91701	90970
1004	91783	90870
1005	91862	90766
1006	91949	90671
1007	92027	90566
1008	92108	90465
1009	92196	90371
1010	92274	90266
1011	92352	90162
1012	92441	90068
1013	92523	89968
